round,mode,stake,wealth,offer_amount,offer_share,accept_reject,bot_action,bot_beliefs,inferred_type,decision_rationale,expected_accept_prob,expected_value,cumulative_payoffs
1,human_proposer_vs_bot_responder,200,1,40,0.2,accept,accept,"{""money_maximizer"":0.2853610209342083,""fairness_sensitive"":0.04151268061431557,""stake_sensitive"":0.5591829259835094,""noisy"":0.11394337246796679}",stake_sensitive,Observed human offer 20%; inferred proposer type stake_sensitive (0.56). Belief 0.56 stake_sensitive; offer 20% vs expected 22.5% -> accept prob 0.54; accept.,0.5377,21.5096,"{""human"":160,""bot"":40}"
2,human_proposer_vs_bot_responder,200,1,50,0.25,accept,accept,"{""money_maximizer"":0.061763855828916914,""fairness_sensitive"":0.02648300975087498,""stake_sensitive"":0.854259852912448,""noisy"":0.05749328150776016}",stake_sensitive,Observed human offer 25%; inferred proposer type stake_sensitive (0.85). Belief 0.85 stake_sensitive; offer 25% vs expected 27.1% -> accept prob 0.64; accept.,0.6448,32.2392,"{""human"":310,""bot"":90}"
3,human_proposer_vs_bot_responder,200,1,60,0.3,accept,accept,"{""money_maximizer"":0.017689320420047994,""fairness_sensitive"":0.023331435136789397,""stake_sensitive"":0.9349731050801656,""noisy"":0.024006139362997007}",stake_sensitive,Observed human offer 30%; inferred proposer type stake_sensitive (0.93). Belief 0.93 stake_sensitive; offer 30% vs expected 28.1% -> accept prob 0.72; accept.,0.7191,43.1436,"{""human"":450,""bot"":150}"
4,human_proposer_vs_bot_responder,200,1,70,0.35,accept,accept,"{""money_maximizer"":0.011104753666208457,""fairness_sensitive"":0.033216848152124584,""stake_sensitive"":0.9428946054080248,""noisy"":0.012783792773642168}",stake_sensitive,Observed human offer 35%; inferred proposer type stake_sensitive (0.94). Belief 0.94 stake_sensitive; offer 35% vs expected 28.3% -> accept prob 0.81; accept.,0.809,56.6287,"{""human"":580,""bot"":220}"
5,human_proposer_vs_bot_responder,200,1,40,0.2,accept,accept,"{""money_maximizer"":0.01313467127734018,""fairness_sensitive"":0.01097084951780332,""stake_sensitive"":0.9670451642821257,""noisy"":0.00884931492273081}",stake_sensitive,Observed human offer 20%; inferred proposer type stake_sensitive (0.97). Belief 0.97 stake_sensitive; offer 20% vs expected 28.1% -> accept prob 0.58; accept.,0.5751,23.0055,"{""human"":740,""bot"":260}"
6,human_proposer_vs_bot_responder,200,1,50,0.25,accept,accept,"{""money_maximizer"":0.010759483592977594,""fairness_sensitive"":0.006759760714233541,""stake_sensitive"":0.9762208013511562,""noisy"":0.006259954341632704}",stake_sensitive,Observed human offer 25%; inferred proposer type stake_sensitive (0.98). Belief 0.98 stake_sensitive; offer 25% vs expected 28.1% -> accept prob 0.67; accept.,0.669,33.4511,"{""human"":890,""bot"":310}"
7,human_proposer_vs_bot_responder,200,1,60,0.3,accept,accept,"{""money_maximizer"":0.010101647361147574,""fairness_sensitive"":0.0071102613363727115,""stake_sensitive"":0.9775147880969061,""noisy"":0.0052733032055736675}",stake_sensitive,Observed human offer 30%; inferred proposer type stake_sensitive (0.98). Belief 0.98 stake_sensitive; offer 30% vs expected 28.1% -> accept prob 0.73; accept.,0.7343,44.0561,"{""human"":1030,""bot"":370}"
8,human_proposer_vs_bot_responder,200,1,70,0.35,accept,accept,"{""money_maximizer"":0.009988840256272474,""fairness_sensitive"":0.011482378298497865,""stake_sensitive"":0.9732952416883667,""noisy"":0.005233539756862979}",stake_sensitive,Observed human offer 35%; inferred proposer type stake_sensitive (0.97). Belief 0.97 stake_sensitive; offer 35% vs expected 28.2% -> accept prob 0.82; accept.,0.8153,57.0719,"{""human"":1160,""bot"":440}"
9,human_proposer_vs_bot_responder,200,1,40,0.2,accept,accept,"{""money_maximizer"":0.012601831414911308,""fairness_sensitive"":0.00515369705656726,""stake_sensitive"":0.9768103376858409,""noisy"":0.005434133842680509}",stake_sensitive,Observed human offer 20%; inferred proposer type stake_sensitive (0.98). Belief 0.98 stake_sensitive; offer 20% vs expected 28% -> accept prob 0.59; accept.,0.5936,23.7458,"{""human"":1320,""bot"":480}"
10,human_proposer_vs_bot_responder,200,1,50,0.25,accept,accept,"{""money_maximizer"":0.010665703755220655,""fairness_sensitive"":0.00429612604264428,""stake_sensitive"":0.9799929343523959,""noisy"":0.005045235849739154}",stake_sensitive,Observed human offer 25%; inferred proposer type stake_sensitive (0.98). Belief 0.98 stake_sensitive; offer 25% vs expected 28.1% -> accept prob 0.69; accept.,0.6852,34.2602,"{""human"":1470,""bot"":530}"
